City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
650,El Dorado,US,77.63,clear sky,38.7666,-120.5177,Bridal Veil Campground
651,Kilindoni,TZ,77.67,scattered clouds,-7.9139,39.6668,Bustani B&B
652,Remedios,CU,85.12,clear sky,22.4947,-79.5458,Hostal Yunai
653,Chavakkad,IN,77.07,overcast clouds,10.5333,76.05,Rajah Island
656,Karratha,AU,70.03,light rain,-20.7377,116.8463,ibis Styles Karratha
657,Kalmunai,LK,82.49,broken clouds,7.4167,81.8167,VS Villa
659,Haapiti,PF,71.33,light rain,-17.5667,-149.8667,Linareva Moorea Beach Resort
661,Hauterive,FR,84.02,clear sky,46.0901,3.4459,Aletti Palace Hotel
663,Padang,ID,80.65,scattered clouds,-0.9492,100.3543,Mercure Padang
664,Laguna,US,80.24,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
667,Senj,HR,74.07,overcast clouds,44.9894,14.9058,Roza Guest House
669,Halifax,CA,79.52,overcast clouds,44.6453,-63.5724,Hotel Halifax
672,Virginia Beach,US,84.27,broken clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
673,Satellite Beach,US,89.1,broken clouds,28.1761,-80.5901,Radisson Suite Hotel Oceanfront
676,Benguela,AO,76.57,scattered clouds,-12.5763,13.4055,Hotel Praia Morena
678,Mindelo,CV,81.95,few clouds,16.8901,-24.9804,Hotel Gaudi
679,Gap,FR,75.83,clear sky,44.6667,6.0,La Griotte
681,Saint Anthony,US,77.97,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
684,Bandrele,YT,78.55,broken clouds,-12.9067,45.1914,Les Baobabs
685,Kulhudhuffushi,MV,82.96,overcast clouds,6.6221,73.07,Hondaafushi Island Resort
