City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
375,Coquimbo,CL,-29.9533,-71.3436,47.93,93,90,4.61,overcast clouds
376,Chapais,CA,49.7834,-74.8492,75.45,48,0,5.53,clear sky
377,Tiksi,RU,71.6872,128.8694,41.5,74,100,5.77,overcast clouds
378,Vung Tau,VN,10.346,107.0843,79.92,75,100,14.41,moderate rain
379,Shakhtinsk,KZ,49.71,72.5872,79.36,46,26,12.62,scattered clouds
380,Komsomolskiy,UZ,40.4272,71.7189,83.12,44,100,6.91,overcast clouds
381,Hofn,IS,64.2539,-15.2082,53.62,87,20,12.66,few clouds
382,Palauig,PH,15.435,119.9045,80.56,87,100,9.95,heavy intensity rain
383,Ormara,PK,25.2088,64.6357,83.57,83,18,27.0,few clouds
384,Cayenne,GF,4.9333,-52.3333,87.84,73,40,5.01,scattered clouds
385,Saldanha,ZA,-33.0117,17.9442,67.37,51,0,14.7,clear sky
386,Kenai,US,60.5544,-151.2583,56.14,93,1,0.0,light rain
387,Sanmenxia,CN,34.7747,111.1814,76.23,87,100,6.33,overcast clouds
388,Straumen,NO,63.8709,11.2999,55.62,89,100,15.48,overcast clouds
389,Bokaro,IN,23.7833,85.9667,88.05,62,100,4.83,overcast clouds
390,Dingle,PH,10.9995,122.6711,77.77,86,100,6.69,light rain
391,Dwarka,IN,22.2394,68.9678,84.43,79,100,22.17,overcast clouds
392,Alofi,NU,-19.0595,-169.9187,76.44,77,14,18.19,few clouds
393,Marawi,PH,7.9986,124.2928,70.65,87,100,4.38,light rain
394,Aswan,EG,24.0934,32.907,108.66,9,24,9.6,few clouds
395,Morro Bay,US,35.3658,-120.8499,63.12,80,100,2.91,overcast clouds
396,Jambi,ID,-1.6,103.6167,77.23,81,81,2.24,broken clouds
397,Aksarka,RU,66.5606,67.7975,65.89,72,85,8.88,moderate rain
398,Husavik,IS,66.0449,-17.3389,57.18,71,7,5.73,clear sky
399,Sobolevo,RU,54.4299,31.8996,80.24,62,76,9.4,broken clouds
400,Bodaybo,RU,57.8506,114.1933,67.64,93,56,4.88,light rain
401,Esso,RU,55.9333,158.7,51.94,100,100,3.74,overcast clouds
402,Turukhansk,RU,65.8167,87.9833,58.87,66,100,3.71,overcast clouds
403,Mecca,SA,21.4267,39.8261,97.3,18,100,12.73,overcast clouds
404,Sisimiut,GL,66.9395,-53.6735,52.65,78,34,7.4,scattered clouds
405,Ola,RU,59.5833,151.2833,55.72,88,100,5.97,overcast clouds
406,Betare Oya,CM,5.6,14.0833,77.97,76,93,4.65,light rain
407,Albanel,CA,48.8832,-72.4487,73.89,60,73,1.39,broken clouds
408,Saint-Pierre,RE,-21.3393,55.4781,71.28,84,90,20.71,light rain
409,Santa Cruz,BO,-17.8,-63.1667,65.07,37,95,16.89,overcast clouds
410,Svetlyy,RU,54.675,20.1347,73.45,72,3,16.91,clear sky
411,Marana,US,32.4367,-111.2254,84.79,68,90,11.5,overcast clouds
